County,State,2010,2011,2012,2013,2014,2015,2016
Hamilton,Florida,"14,683","14,595","14,721","14,342","14,071","14,272","14,303"
Hardee,Florida,"27,730","27,684","27,439","27,311","27,266","27,177","27,219"
Hendry,Florida,"39,009","38,972","37,870","37,809","38,474","39,248","40,037"
Hernando,Florida,"172,969","172,847","172,718","173,639","175,298","177,900","182,459"
Highlands,Florida,"98,635","98,477","98,222","98,077","98,584","100,137","102,041"
Hillsborough,Florida,"1,233,498","1,255,503","1,279,639","1,304,131","1,332,298","1,364,073","1,396,693"
Holmes,Florida,"19,843","19,838","19,697","19,594","19,564","19,273","19,398"
Indian River,Florida,"138,270","139,103","140,473","141,895","144,445","147,434","151,159"
Jackson,Florida,"49,648","49,197","49,109","48,880","48,730","48,609","48,299"
Jefferson,Florida,"14,755","14,529","14,219","14,209","14,056","14,115","13,960"
Lafayette,Florida,"8,808","8,798","8,791","8,819","8,862","8,724","8,747"
Lake,Florida,"297,709","300,505","303,725","307,973","315,340","325,154","334,913"
Lee,Florida,"620,449","631,053","644,197","659,834","677,232","699,644","722,649"
Leon,Florida,"275,971","278,371","283,620","281,887","283,770","285,904","286,744"
Levy,Florida,"40,720","40,151","39,823","39,433","39,296","39,601","39,837"
Liberty,Florida,"8,349","8,264","8,301","8,357","8,418","8,409","8,300"
Madison,Florida,"19,248","19,130","18,972","18,753","18,601","18,478","18,316"
Manatee,Florida,"323,424","327,549","333,844","341,855","350,865","362,548","375,373"
Marion,Florida,"331,331","332,286","333,873","335,083","338,005","342,182","347,469"
Martin,Florida,"146,909","147,871","148,981","151,126","153,119","155,559","158,325"
Miami-Dade,Florida,"2,506,972","2,544,531","2,576,554","2,609,692","2,634,269","2,659,839","2,692,213"
Monroe,Florida,"73,220","73,967","74,560","75,813","76,261","76,648","76,872"
Nassau,Florida,"73,513","74,148","74,519","75,384","76,250","77,951","80,055"
Okaloosa,Florida,"180,715","183,102","189,762","192,688","194,615","197,748","200,071"
Okeechobee,Florida,"40,025","39,869","39,710","39,482","39,569","39,854","40,769"
Orange,Florida,"1,148,564","1,170,579","1,202,498","1,227,435","1,256,606","1,291,301","1,326,516"
Osceola,Florida,"269,837","278,636","288,876","299,238","311,046","323,736","338,209"
Palm Beach,Florida,"1,323,619","1,336,760","1,354,936","1,376,462","1,398,656","1,424,256","1,450,890"
Pasco,Florida,"465,487","466,464","469,637","474,352","483,399","494,895","509,937"
Pinellas,Florida,"916,412","918,455","921,642","928,414","936,400","947,060","959,874"
Polk,Florida,"603,102","609,948","615,453","622,633","634,398","648,523","665,823"
Putnam,Florida,"74,220","73,652","72,927","72,370","71,971","71,939","72,373"
St,Johns County,"191,249","196,106","202,066","209,439","217,836","226,362","234,828"
St,Lucie County,"278,264","280,416","282,931","285,299","290,045","297,282","305,566"
Santa Rosa,Florida,"152,908","155,738","158,190","160,392","162,668","166,226","169,894"
Sarasota,Florida,"379,930","382,226","386,437","389,941","396,363","404,761","412,968"
Seminole,Florida,"423,051","426,334","430,537","435,503","441,399","448,318","455,945"
Sumter,Florida,"94,278","97,975","101,669","106,898","112,236","117,076","122,009"
Suwannee,Florida,"42,328","43,368","43,534","43,588","43,786","43,677","43,834"
Taylor,Florida,"22,595","22,662","22,758","22,873","22,584","22,355","22,099"
Union,Florida,"15,542","15,302","15,255","15,160","15,258","15,265","15,238"
Volusia,Florida,"494,440","494,464","496,535","500,438","506,715","516,730","528,453"
Wakulla,Florida,"30,825","30,973","30,859","31,004","31,416","31,523","31,882"
Walton,Florida,"55,217","55,602","57,190","59,193","61,186","63,066","65,421"
Washington,Florida,"24,720","24,510","24,741","24,504","24,299","24,552","24,454"
Appling,Georgia,"18,334","18,459","18,385","18,370","18,472","18,423","18,428"
Atkinson,Georgia,"8,364","8,360","8,255","8,264","8,215","8,340","8,244"
Bacon,Georgia,"11,062","11,145","11,150","11,173","11,178","11,231","11,275"
Baker,Georgia,"3,431","3,311","3,372","3,348","3,288","3,194","3,183"
Baldwin,Georgia,"45,704","45,175","46,510","46,178","45,910","45,549","45,259"
Banks,Georgia,"18,410","18,249","18,131","18,221","18,226","18,381","18,325"
Barrow,Georgia,"69,676","69,844","70,135","71,239","72,849","74,979","77,000"
Bartow,Georgia,"100,050","100,116","100,240","100,917","101,233","102,043","103,338"
Ben Hill,Georgia,"17,645","17,591","17,601","17,450","17,449","17,357","17,251"
Berrien,Georgia,"19,361","19,378","19,160","19,059","18,813","18,991","18,996"
Bibb,Georgia,"155,814","156,211","156,606","155,031","154,329","153,945","153,152"
Bleckley,Georgia,"13,036","13,082","12,890","12,744","12,713","12,714","12,864"
Brantley,Georgia,"18,479","18,561","18,532","18,257","18,366","18,437","18,415"
Brooks,Georgia,"16,246","15,982","15,617","15,649","15,526","15,670","15,725"
Bryan,Georgia,"30,377","31,267","32,251","33,034","33,664","34,792","35,839"
Bulloch,Georgia,"70,559","72,637","73,102","71,816","72,651","73,116","74,642"
Burke,Georgia,"23,336","23,506","23,048","22,824","22,621","22,632","22,601"
Butts,Georgia,"23,786","23,609","23,438","23,218","23,341","23,520","23,736"
Calhoun,Georgia,"6,697","6,625","6,565","6,596","6,506","6,534","6,359"
Camden,Georgia,"50,661","50,303","51,351","51,404","51,909","52,439","52,394"
Candler,Georgia,"11,025","11,209","11,102","10,960","10,865","10,873","10,849"
Carroll,Georgia,"110,655","110,728","111,412","112,265","113,933","114,461","116,077"
Catoosa,Georgia,"64,069","64,753","64,864","65,221","65,467","65,778","66,265"
Charlton,Georgia,"12,853","13,455","13,348","13,107","13,051","13,239","12,842"
Chatham,Georgia,"265,799","271,623","276,164","277,650","282,201","285,959","288,615"
Chattahoochee,Georgia,"11,182","11,257","12,265","12,245","11,696","11,042","10,047"
Chattooga,Georgia,"25,959","25,685","25,627","25,049","24,861","24,905","24,836"
Cherokee,Georgia,"215,197","217,732","220,643","224,314","230,167","235,329","241,795"
Clarke,Georgia,"117,403","118,229","119,891","120,888","120,386","123,561","124,905"
Clay,Georgia,"3,177","3,162","3,106","3,015","3,072","3,077","3,005"
Clayton,Georgia,"259,877","262,031","265,294","264,015","266,629","272,720","279,333"
Clinch,Georgia,"6,764","6,718","6,690","6,758","6,781","6,826","6,742"
Cobb,Georgia,"689,495","696,507","706,322","716,017","727,543","739,052","748,178"
Coffee,Georgia,"42,728","42,996","43,124","43,078","42,884","42,987","42,908"
Colquitt,Georgia,"45,634","45,772","46,013","46,126","45,864","45,466","45,429"
Columbia,Georgia,"124,955","128,804","132,541","136,141","139,104","143,837","147,370"
Cook,Georgia,"17,185","17,033","16,904","17,051","17,297","17,070","17,162"
Coweta,Georgia,"127,937","129,374","130,593","132,944","135,140","138,145","140,497"
Crawford,Georgia,"12,587","12,585","12,579","12,483","12,401","12,354","12,268"
Crisp,Georgia,"23,433","23,753","23,589","23,298","23,061","22,959","22,905"
Dade,Georgia,"16,630","16,600","16,518","16,453","16,289","16,162","16,224"
Dawson,Georgia,"22,328","22,340","22,513","22,732","23,022","23,369","23,668"
Decatur,Georgia,"27,817","27,651","27,442","27,391","27,167","27,049","26,679"
DeKalb,Georgia,"692,443","698,329","710,557","717,740","724,892","734,434","746,802"
Dodge,Georgia,"21,761","21,614","21,517","21,429","21,173","21,142","20,854"
Dooly,Georgia,"14,854","14,612","14,415","14,372","14,246","14,034","13,853"
Dougherty,Georgia,"94,513","95,063","94,694","93,411","92,742","91,513","90,389"
Douglas,Georgia,"132,573","133,106","133,555","136,024","138,007","140,173","141,664"
Early,Georgia,"10,983","10,790","10,640","10,540","10,450","10,462","10,306"
Echols,Georgia,"4,015","4,064","3,967","3,993","4,032","4,030","3,956"
Effingham,Georgia,"52,464","52,692","53,330","54,419","55,410","57,076","58,699"
Elbert,Georgia,"20,100","19,820","19,576","19,490","19,387","19,302","19,136"
Emanuel,Georgia,"22,607","22,492","22,732","22,631","22,482","22,471","22,406"
Evans,Georgia,"11,021","10,980","10,678","10,794","10,811","10,690","10,648"
Fannin,Georgia,"23,685","23,648","23,615","23,831","23,863","24,442","25,032"
Fayette,Georgia,"106,938","107,156","107,315","108,054","109,199","110,141","111,218"
Floyd,Georgia,"96,431","96,161","95,940","95,880","95,868","96,186","96,698"
Forsyth,Georgia,"176,723","181,794","186,793","193,801","202,598","211,250","220,481"
Franklin,Georgia,"22,074","21,972","21,916","22,045","22,175","22,267","22,316"
Fulton,Georgia,"925,632","947,469","973,221","981,472","991,847","1,005,127","1,022,866"
Gilmer,Georgia,"28,339","28,325","28,288","28,717","28,994","29,514","29,911"
Glascock,Georgia,"3,079","3,103","3,107","3,060","3,008","3,020","2,978"
Glynn,Georgia,"79,744","80,111","80,866","81,497","82,177","83,311","84,099"
Gordon,Georgia,"55,257","55,520","55,687","55,761","55,836","56,324","56,933"
Grady,Georgia,"25,021","25,097","25,270","25,101","25,215","25,089","24,869"
Greene,Georgia,"15,976","16,050","16,118","16,243","16,418","16,617","16,869"
Gwinnett,Georgia,"808,007","822,415","836,844","853,459","870,986","888,494","904,962"
Habersham,Georgia,"43,061","43,043","43,377","43,154","43,564","43,792","44,104"
Hall,Georgia,"180,033","182,269","184,102","186,431","189,142","192,245","196,159"
Hancock,Georgia,"9,433","9,395","9,079","8,952","8,571","8,578","8,633"
Haralson,Georgia,"28,758","28,465","28,310","28,335","28,487","28,702","28,830"
Harris,Georgia,"32,149","32,307","32,570","32,532","32,737","33,155","33,633"
Hart,Georgia,"25,240","25,417","25,513","25,456","25,362","25,410","25,471"
Heard,Georgia,"11,841","11,731","11,652","11,564","11,623","11,556","11,579"
Henry,Georgia,"205,039","206,911","208,005","210,012","212,957","216,414","220,896"
Houston,Georgia,"140,651","143,775","145,827","147,527","148,575","149,323","151,622"
Irwin,Georgia,"9,577","9,676","9,597","9,345","9,078","9,135","9,302"
Jackson,Georgia,"60,696","60,974","60,844","61,268","62,101","63,418","65,061"
Jasper,Georgia,"13,889","13,832","13,640","13,597","13,531","13,683","13,767"
Jeff Davis,Georgia,"15,111","15,158","15,192","15,042","14,927","15,013","14,965"
Jefferson,Georgia,"16,869","16,769","16,347","16,240","16,119","15,917","15,755"
Jenkins,Georgia,"8,320","8,125","9,108","9,194","9,034","8,899","8,812"
Johnson,Georgia,"9,986","9,999","10,004","9,900","9,803","9,708","9,660"
Jones,Georgia,"28,646","28,740","28,624","28,576","28,652","28,441","28,574"
Lamar,Georgia,"18,265","18,160","18,030","17,929","18,189","18,236","18,484"
Lanier,Georgia,"10,104","10,482","10,466","10,412","10,369","10,269","10,430"
Laurens,Georgia,"48,384","47,891","47,842","47,733","47,569","47,486","47,279"
Lee,Georgia,"28,414","28,578","28,708","29,039","29,122","29,173","29,184"
Liberty,Georgia,"62,765","65,179","64,412","62,341","64,091","61,611","61,473"
Lincoln,Georgia,"7,970","7,872","7,764","7,734","7,644","7,722","7,855"
Long,Georgia,"14,574","15,088","15,994","16,484","17,029","17,658","18,372"
Lowndes,Georgia,"109,689","111,479","114,071","112,883","113,506","113,342","114,360"
Lumpkin,Georgia,"30,282","30,457","30,686","30,873","31,120","31,285","31,415"
McDuffie,Georgia,"21,803","21,614","21,630","21,499","21,524","21,462","21,456"
McIntosh,Georgia,"14,311","14,223","13,883","14,027","14,064","14,031","14,057"
Macon,Georgia,"14,645","14,454","14,301","13,976","13,819","13,688","13,478"
Madison,Georgia,"28,212","28,174","28,070","28,202","28,362","28,419","28,856"
Marion,Georgia,"8,741","8,701","8,672","8,580","8,632","8,558","8,468"
Meriwether,Georgia,"21,818","21,598","21,335","21,217","21,208","21,173","21,074"
Miller,Georgia,"6,133","6,071","6,004","5,899","5,944","5,848","5,874"
Mitchell,Georgia,"23,502","23,400","23,086","22,992","22,715","22,449","22,455"
Monroe,Georgia,"26,179","26,344","26,373","26,619","26,667","26,708","26,905"
Montgomery,Georgia,"9,144","9,030","8,887","8,957","8,982","8,942","8,985"
Morgan,Georgia,"17,901","17,907","17,809","17,682","17,896","17,948","18,107"
Murray,Georgia,"39,533","39,365","39,311","39,178","39,215","39,430","39,347"
Muscogee,Georgia,"191,101","195,271","198,965","203,225","200,563","198,702","196,219"
Newton,Georgia,"100,133","100,444","100,956","102,040","103,441","104,884","106,499"
Oconee,Georgia,"32,925","33,264","33,514","34,077","35,072","35,853","36,929"
Oglethorpe,Georgia,"14,899","14,708","14,509","14,423","14,541","14,732","14,712"
Paulding,Georgia,"142,837","143,606","144,738","146,753","148,532","151,649","155,246"
Peach,Georgia,"27,857","27,786","27,765","27,162","27,142","26,970","26,885"
Pickens,Georgia,"29,436","29,390","29,260","29,387","29,807","30,136","30,652"
Pierce,Georgia,"18,815","18,774","18,905","19,017","19,010","19,094","19,104"
Pike,Georgia,"17,922","17,785","17,770","17,774","17,765","17,925","17,897"
Polk,Georgia,"41,547","41,281","41,101","40,977","40,879","41,207","41,555"
Pulaski,Georgia,"11,969","11,839","11,699","11,563","11,509","11,395","11,288"
Putnam,Georgia,"21,191","21,240","21,133","21,280","21,143","21,307","21,515"
Quitman,Georgia,"2,512","2,453","2,406","2,367","2,285","2,275","2,320"
Rabun,Georgia,"16,277","16,257","16,304","16,184","16,158","16,223","16,465"
Randolph,Georgia,"7,668","7,567","7,308","7,201","7,314","7,150","7,155"
Richmond,Georgia,"201,115","200,568","201,742","201,335","201,287","201,451","201,949"
Rockdale,Georgia,"85,354","85,409","85,427","86,480","87,164","88,354","88,987"
Schley,Georgia,"5,020","5,044","5,024","5,095","5,189","5,209","5,173"
Screven,Georgia,"14,501","14,405","14,168","14,145","14,002","14,059","14,003"
Seminole,Georgia,"8,727","8,767","8,871","8,848","8,603","8,565","8,427"
Spalding,Georgia,"64,096","64,044","63,691","63,508","63,692","63,818","64,546"
Stephens,Georgia,"26,117","25,750","25,703","25,551","25,406","25,446","25,637"
Stewart,Georgia,"6,102","6,067","6,109","5,559","5,887","5,973","6,122"
Sumter,Georgia,"32,684","32,068","31,582","31,335","31,161","30,696","30,403"
Talbot,Georgia,"6,880","6,850","6,640","6,554","6,534","6,498","6,366"
Taliaferro,Georgia,"1,703","1,705","1,674","1,690","1,693","1,642","1,611"
Tattnall,Georgia,"25,475","25,436","25,463","25,635","25,321","25,387","25,342"
Taylor,Georgia,"8,777","8,440","8,361","8,380","8,380","8,243","8,189"
Telfair,Georgia,"16,518","16,243","16,367","16,633","16,454","16,451","15,962"
Terrell,Georgia,"9,526","9,392","9,225","9,165","9,079","9,013","8,861"
Thomas,Georgia,"44,747","44,590","44,528","44,770","44,765","44,796","44,950"
Tift,Georgia,"40,251","41,159","40,945","40,180","40,453","40,536","40,554"
Toombs,Georgia,"27,244","27,195","27,168","27,189","27,135","27,150","27,121"
Towns,Georgia,"10,535","10,580","10,563","10,787","11,084","11,212","11,419"
Treutlen,Georgia,"6,894","6,824","6,789","6,687","6,811","6,803","6,710"
Troup,Georgia,"67,054","67,629","68,282","68,801","69,278","69,595","69,939"
Turner,Georgia,"8,910","8,940","8,445","8,206","8,066","7,982","7,944"
Twiggs,Georgia,"8,973","8,827","8,552","8,516","8,392","8,347","8,249"
Union,Georgia,"21,370","21,252","21,328","21,424","21,764","22,007","22,640"
Upson,Georgia,"27,054","26,920","26,562","26,421","26,161","26,231","26,245"
Walker,Georgia,"68,870","68,801","68,452","68,594","68,659","68,537","68,455"
Walton,Georgia,"83,992","84,630","84,975","86,041","87,526","88,333","89,786"
Ware,Georgia,"36,308","36,274","35,893","35,743","35,513","35,327","35,648"
Warren,Georgia,"5,782","5,677","5,544","5,518","5,458","5,374","5,345"
Washington,Georgia,"21,093","20,969","20,790","20,573","20,548","20,736","20,347"
Wayne,Georgia,"30,074","30,294","30,320","29,990","29,891","29,430","29,974"
Webster,Georgia,"2,781","2,764","2,765","2,669","2,611","2,631","2,616"
Wheeler,Georgia,"7,769","8,079","7,933","7,935","7,984","7,911","8,015"
White,Georgia,"27,203","27,401","27,626","27,830","28,021","28,387","28,828"
Whitfield,Georgia,"102,745","102,920","102,948","102,728","103,083","103,669","104,406"
Wilcox,Georgia,"9,314","9,252","9,074","9,061","8,937","9,024","8,841"
Wilkes,Georgia,"10,388","10,229","10,086","9,920","9,949","9,911","9,809"
Wilkinson,Georgia,"9,529","9,416","9,484","9,363","9,284","9,080","9,020"
Worth,Georgia,"21,692","21,512","21,349","21,052","21,006","20,688","20,703"
Hawaii,Hawaii,"185,363","187,079","189,161","191,459","193,711","195,975","198,316"
Honolulu,Hawaii,"956,285","967,336","977,994","986,059","987,414","991,064","992,268"
Kalawao,Hawaii,90,90,89,89,89,88,88
Kauai,Hawaii,"67,205","67,888","68,671","69,632","70,288","71,021","71,537"
Maui,Hawaii,"155,020","156,936","158,889","161,004","163,036","163,904","165,350"
Ada,Idaho,"393,354","401,262","408,862","415,951","425,471","432,862","444,486"
Adams,Idaho,"3,962","3,981","3,908","3,863","3,883","3,891","3,941"
Bannock,Idaho,"83,020","83,641","83,755","83,455","83,536","84,184","84,676"
Bear Lake,Idaho,"5,969","5,956","5,892","5,948","5,926","5,879","5,927"
Benewah,Idaho,"9,290","9,173","9,126","9,030","9,032","8,996","9,021"
