State,County,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Colorado,Arapahoe,491482,502393,508936,513690,518971,524466,531619,542039,552461,563161
Colorado,Archuleta,10020,10454,10885,11089,11266,11496,11937,12262,12250,12169
Colorado,Baca,4501,4471,4336,4117,4064,3997,3933,3866,3806,3767
Colorado,Bent,5954,5841,5973,6166,6180,6118,6012,5715,5962,6425
Colorado,Boulder,271574,277597,279468,278768,279728,280241,284243,287428,290859,293190
Colorado,Broomfield,39679,41055,41800,43805,44867,46313,48729,51526,53181,54789
Colorado,Chaffee,16337,16488,16844,16921,17047,17105,17087,17377,17573,17852
Colorado,Cheyenne,2209,2179,2119,2021,1981,1939,1912,1863,1881,1843
Colorado,Clear Creek,9255,9383,9514,9402,9148,9150,9042,9152,9138,8994
Colorado,Conejos,8401,8350,8358,8310,8353,8337,8256,8217,8200,8140
Colorado,Costilla,3675,3619,3639,3645,3656,3562,3571,3567,3532,3481
Colorado,Crowley,5509,5614,5666,5464,5720,5677,5886,6015,5947,5797
Colorado,Custer,3523,3664,3714,3865,3911,3989,3994,4112,4107,4190
Colorado,Delta,27877,28069,28677,28929,29305,29389,29789,30121,30712,31156
Colorado,Denver,555651,561976,556790,552588,550756,551691,556895,564395,575721,589011
Colorado,Dolores,1847,1849,1870,1842,1850,1869,1973,1980,2061,2057
Colorado,Douglas,180121,196783,208911,220352,232508,243112,256136,267177,275500,281386
Colorado,Eagle,41961,43238,44227,44995,45893,47205,48476,49803,51049,52513
Colorado,Elbert,20060,21094,21678,21834,21977,22182,22423,22402,22634,22965
Colorado,El Paso,519938,535864,544145,547549,556667,565800,580251,586783,597919,608061
Colorado,Fremont,46245,46633,47019,46901,46605,46641,46873,46959,47166,46871
Colorado,Garfield,44257,45636,46925,47622,48193,49579,51594,53534,55449,57089
Colorado,Gilpin,4783,4781,4788,4777,4752,4810,4883,4893,5026,5352
Colorado,Grand,12496,12743,13158,13324,13596,13627,14003,14306,14622,14902
Colorado,Gunnison,14068,14206,14322,14273,14356,14456,14720,15043,15250,15356
Colorado,Hinsdale,791,817,798,779,810,794,815,835,818,834
Colorado,Huerfano,7771,7635,7571,7428,7193,7145,7127,7051,7073,6824
Colorado,Jackson,1577,1529,1532,1512,1486,1449,1415,1407,1378,1408
Colorado,Jefferson,526251,528845,527851,524940,520900,519675,521662,524911,529003,531961
Colorado,Kiowa,1610,1550,1519,1501,1457,1467,1456,1410,1392,1378
Colorado,Kit Carson,7971,7995,8250,8133,8157,8060,8011,7954,8157,8383
Colorado,Lake,7815,7758,7676,7491,7434,7331,7278,7392,7450,7426
Colorado,La Plata,44228,45044,45869,46121,46728,47575,48574,49343,50291,51105
